iter	Passed	Remaining
415	2945	4135
416	2948	4121
417	2950	4108
418	2971	4119
419	2975	4108
420	2983	4102
421	2987	4092
422	2991	4080
423	3001	4077
424	3005	4065
425	3007	4052
426	3014	4045
427	3017	4032
428	3020	4019
429	3022	4006
430	3025	3993
431	3031	3985
432	3034	3973
433	3036	3960
434	3038	3947
435	3041	3934
436	3050	3930
437	3053	3918
438	3056	3906
439	3068	3905
440	3072	3895
441	3081	3889
442	3088	3883
443	3099	3881
444	3103	3870
445	3106	3859
446	3116	3856
447	3139	3867
448	3148	3863
449	3151	3851
450	3154	3839
451	3160	3831
452	3163	3819
453	3166	3808
454	3169	3795
455	3171	3783
456	3178	3776
457	3181	3765
458	3184	3753
459	3187	3741
460	3193	3734
461	3197	3723
462	3200	3711
463	3203	3700
464	3210	3694
465	3214	3683
466	3218	3672
467	3220	3661
468	3225	3651
469	3228	3640
470	3230	3628
471	3232	3616
472	3235	3604
473	3241	3596
474	3244	3586
475	3247	3575
476	3250	3563
477	3258	3558
478	3261	3547
479	3264	3536
480	3267	3525
481	3273	3518
482	3291	3522
483	3295	3513
484	3298	3502
485	3301	3491
486	3308	3484
487	3311	3474
488	3315	3465
489	3321	3457
490	3324	3446
491	3327	3435
492	3330	3424
493	3336	3417
494	3339	3407
495	3341	3395
496	3344	3384
497	3348	3375
498	3353	3367
499	3356	3356
500	3358	3345
501	3361	3334
502	3363	3323
503	3368	3315
504	3372	3306
505	3376	3296
506	3379	3285
507	3385	3278
508	3388	3269
509	3392	3259
510	3395	3248
511	3401	3242
512	3404	3232
513	3407	3221
514	3409	3210
515	3411	3200
516	3417	3192
517	3420	3182
518	3440	3188
519	3444	3179
520	3451	3173
521	3454	3163
522	3457	3152
523	3460	3143
524	3466	3136
525	3469	3126
526	3472	3116
527	3475	3107
528	3481	3099
529	3483	3089
530	3486	3079
531	3488	3069
532	3491	3058
533	3495	3050
534	3498	3040
535	3501	3030
536	3503	3020
537	3507	3011
538	3514	3005
539	3517	2996
540	3521	2987
541	3524	2978
542	3530	2971
543	3533	2961
544	3536	2952
545	3539	2943
546	3545	2936
547	3548	2926
548	3550	2916
549	3552	2906
550	3555	2897
551	3562	2891
552	3565	2882
553	3568	2872
554	3571	2863
555	3596	2871
556	3602	2864
557	3614	2863
558	3619	2855
559	3625	2848
560	3627	2838
561	3630	2829
562	3632	2819
563	3635	2810
564	3643	2805
565	3646	2796
566	3649	2787
567	3652	2778
568	3659	2771
569	3662	2762
570	3665	2753
571	3668	2744
572	3673	2737
573	3676	2728
574	3678	2718
575	3681	2709
576	3683	2700
577	3687	2692
578	3690	2683
579	3692	2673
580	3695	2664
581	3697	2655
582	3700	2646
583	3707	2640
584	3710	2632
585	3715	2624
586	3721	2618
587	3724	2609
588	3726	2600
589	3729	2591
590	3732	2582
591	3738	2576
592	3741	2568
593	3759	2569
594	3762	2561
595	3768	2554
596	3771	2546
597	3774	2537
598	3777	2529
599	3780	2520
600	3786	2514
601	3789	2505
602	3792	2496
603	3795	2488
604	3801	2482
605	3804	2473
606	3806	2464
607	3808	2455
608	3811	2447
609	3817	2440
610	3819	2431
611	3822	2423
612	3825	2415
613	3827	2406
614	3835	2401
615	3838	2393
616	3841	2384
617	3847	2377
618	3850	2369
619	3853	2361
620	3856	2353
621	3859	2345
622	3866	2339
623	3868	2331
624	3871	2322
625	3873	2314
626	3876	2306
627	3881	2299
628	3884	2290
629	3886	2282
630	3888	2274
631	3913	2278
632	3918	2271
633	3921	2263
634	3924	2255
635	3931	2250
636	3934	2242
637	3939	2234
638	3945	2228
639	3948	2221
640	3950	2212
641	3953	2204
642	3955	2196
643	3961	2189
644	3963	2181
645	3965	2173
646	3968	2165
647	3970	2156
648	3973	2149
649	3978	2142
650	3982	2134
651	3985	2127
652	3988	2119
653	3991	2111
654	3995	2104
655	3998	2096
656	4001	2089
657	4007	2082
658	4010	2075
659	4013	2067
660	4016	2059
661	4018	2051
662	4024	2045
663	4027	2037
664	4030	2030
665	4033	2022
666	4038	2016
667	4063	2019
668	4073	2015
669	4076	2007
670	4080	2000
671	4083	1993
672	4088	1986
673	4091	1978
674	4094	1971
675	4096	1963
676	4098	1955
677	4104	1949
678	4108	1942
679	4113	1935
680	4120	1930
681	4123	1922
682	4126	1915
683	4129	1907
684	4136	1901
685	4139	1894
686	4143	1887
687	4145	1880
688	4151	1873
689	4154	1866
690	4156	1858
691	4159	1851
692	4161	1843
693	4168	1837
694	4170	1830
695	4174	1823
696	4178	1816
697	4185	1810
698	4189	1804
699	4192	1796
700	4218	1799
701	4220	1791
702	4223	1784
703	4226	1777
704	4232	1770
705	4235	1763
706	4238	1756
707	4242	1749
708	4249	1744
709	4252	1736
710	4255	1729
711	4258	1722
712	4264	1716
713	4267	1709
714	4270	1702
715	4273	1695
716	4275	1687
717	4280	1681
718	4283	1673
719	4285	1666
720	4288	1659
721	4290	1652
722	4296	1645
723	4298	1638
724	4300	1631
725	4304	1624
726	4311	1619
727	4314	1611
728	4317	1605
729	4320	1598
730	4323	1590
731	4329	1585
732	4333	1578
733	4337	1571
734	4339	1564
735	4345	1558
736	4348	1551
737	4350	1544
738	4353	1537
739	4356	1530
740	4360	1524
741	4382	1523
742	4385	1517
743	4392	1511
744	4394	1504
745	4397	1497
746	4400	1490
747	4403	1483
748	4407	1477
749	4411	1470
750	4413	1463
751	4416	1456
752	4421	1450
753	4424	1443
754	4427	1436
755	4429	1429
756	4435	1423
757	4438	1416
758	4440	1409
759	4445	1403
760	4452	1398
761	4455	1391
762	4458	1384
763	4462	1378
764	4470	1373
765	4474	1366
766	4477	1360
767	4485	1354
768	4488	1348
769	4492	1341
770	4495	1335
771	4503	1329
772	4509	1324
773	4557	1330
774	4573	1327
775	4578	1321
776	4590	1317
777	4593	1310
778	4605	1306
779	4618	1302
780	4623	1296
781	4654	1297
782	4666	1293
783	4675	1288
784	4690	1284
785	4702	1280
786	4707	1274
787	4723	1270
788	4735	1266
789	4746	1261
790	4762	1258
791	4788	1257
792	4805	1254
793	4813	1248
794	4823	1243
795	4827	1237
796	4830	1230
797	4839	1225
798	4842	1218
799	4846	1211
800	4857	1206
801	4861	1200
802	4871	1195
803	4875	1188
804	4879	1181
805	4886	1176
806	4890	1169
807	4893	1162
808	4901	1157
809	4905	1150
810	4908	1144
811	4921	1139
812	4926	1133
813	4938	1128
814	4951	1123
815	4957	1117
816	4965	1112
817	4973	1106
818	4984	1101
819	4994	1096
820	5003	1090
821	5007	1084
822	5014	1078
823	5020	1072
824	5047	1070
825	5051	1064
826	5057	1057
827	5064	1052
828	5071	1046
829	5079	1040
830	5082	1033
831	5088	1027
832	5094	1021
833	5099	1014
834	5102	1008
835	5105	1001
836	5117	996
837	5122	990
838	5130	984
839	5133	977
840	5136	971
841	5145	965
842	5149	959
843	5153	952
844	5164	947
845	5167	940
846	5172	934
847	5177	928
848	5180	921
849	5183	914
850	5190	908
851	5195	902
852	5198	895
853	5239	895
854	5245	889
855	5262	885
856	5272	879
857	5278	873
858	5287	867
859	5296	862
860	5306	856
861	5309	850
862	5312	843
863	5321	837
864	5325	831
865	5336	825
866	5340	819
867	5346	813
868	5356	807
869	5362	801
870	5373	795
871	5378	789
872	5391	784
873	5402	778
874	5408	772
875	5416	766
876	5420	760
877	5423	753
878	5434	748
879	5437	741
880	5442	735
881	5475	732
882	5490	727
883	5499	721
884	5503	715
885	5506	708
886	5515	702
887	5518	696
888	5523	689
889	5531	683
890	5536	677
891	5539	670
892	5549	664
893	5552	658
894	5555	651
895	5564	645
896	5567	639
897	5570	632
898	5579	626
899	5582	620
900	5585	613
901	5588	607
902	5596	601
903	5598	594
904	5601	587
905	5603	581
906	5608	575
907	5616	569
908	5620	562
909	5634	557
910	5644	551
911	5648	544
912	5662	539
913	5668	533
914	5680	527
915	5712	523
916	5763	521
917	5774	515
918	5794	510
919	5802	504
920	5814	498
921	5827	493
922	5831	486
923	5844	480
924	5849	474
925	5860	468
926	5864	461
927	5877	455
928	5880	449
929	5883	442
930	5892	436
931	5896	430
932	5898	423
933	5910	417
934	5913	411
935	5923	404
936	5927	398
937	5931	392
938	5940	385
939	5944	379
940	5947	372
941	5956	366
942	5959	360
943	5962	353
944	5965	347
945	5970	340
946	5974	334
947	5976	327
948	5983	321
949	5986	315
950	5990	308
951	5996	302
952	5999	295
953	6002	289
954	6004	282
955	6007	276
956	6012	270
957	6016	263
958	6019	257
959	6022	250
960	6053	245
961	6102	241
962	6118	235
963	6171	230
964	6182	224
965	6189	217
966	6203	211
967	6268	207
968	6279	200
969	6289	194
970	6300	188
971	6312	181
972	6318	175
973	6325	168
974	6337	162
975	6351	156
976	6356	149
977	6372	143
978	6409	137
979	6446	131
980	6454	125
981	6458	118
982	6464	111
983	6475	105
984	6499	98
985	6502	92
986	6505	85
987	6509	79
988	6515	72
989	6519	65
990	6522	59
991	6525	52
992	6527	46
993	6532	39
994	6535	32
995	6538	26
996	6543	19
997	6550	13
998	6556	6
999	6559	0
