iter	RMSE
0	174.5279393
1	168.7467272
2	163.3416577
3	158.1208885
4	153.2899446
5	148.8142058
6	144.4459118
7	140.625575
8	137.2596747
9	134.1752733
10	129.8061028
11	126.6887588
12	123.596045
13	121.2000273
14	118.9259933
15	116.3239765
16	114.5079439
17	112.6596599
18	109.5520953
19	108.0412999
20	105.1655546
21	102.6741175
22	99.90283907
23	97.89472524
24	96.4076531
25	94.93903685
26	93.10731083
27	90.93438285
28	89.61200878
29	88.6696703
30	87.81948927
31	86.86114535
32	85.1945177
33	83.18456246
34	81.80856492
35	80.14947021
36	78.70143472
37	78.11707916
38	77.18038097
39	76.19209074
40	75.40252962
41	74.77267263
42	74.27450113
43	73.31188766
44	72.83221653
45	72.4396727
46	72.12358379
47	71.79810696
48	71.45701274
49	70.83222158
50	69.9801766
51	69.11877295
52	67.98788151
53	67.16928774
54	66.64284351
55	66.37506294
56	66.12281434
57	65.4073899
58	64.91968899
59	64.07411585
60	63.73992456
61	63.26290838
62	62.69337564
63	62.28713793
64	62.02510476
65	61.68815986
66	61.49639923
67	61.3389598
68	60.79024448
69	60.25288747
70	59.95748988
71	59.7970215
72	59.64421932
73	59.48675391
74	59.30759764
75	59.03859963
76	58.90528862
77	58.8083162
78	58.42417242
79	58.29185273
80	57.80244144
81	57.60409092
82	57.16755033
83	56.97606135
84	56.80614389
85	56.67226457
86	56.55424428
87	56.29753539
88	56.0846915
89	55.94674143
90	55.85730243
91	55.49869714
92	55.40798744
93	55.29290748
94	55.01643775
95	54.8622624
96	54.69104733
97	54.61928226
98	54.53259823
99	54.40490378
100	54.31193945
101	54.17858092
102	53.90326181
103	53.69323683
104	53.37196212
105	53.28914697
106	53.01037144
107	52.95017252
108	52.77438983
109	52.70752609
110	52.57066792
111	52.34625649
112	52.27065513
113	52.05942457
114	51.97743845
115	51.82805192
116	51.7670607
117	51.71246903
118	51.5054688
119	51.30160333
120	51.18316811
121	51.13643099
122	50.88510489
123	50.62634349
124	50.53382162
125	50.45579178
126	50.32189081
127	50.23124733
128	50.09298252
129	49.97008473
130	49.9045551
131	49.6965668
132	49.64257378
133	49.47022095
134	49.41431231
135	49.27154999
136	49.20103652
137	49.06945128
138	49.0051255
139	48.96513101
140	48.9191856
141	48.80059022
142	48.63021672
143	48.39662449
144	48.36508352
145	48.28870982
146	48.11441252
147	48.02555283
148	47.95268914
149	47.79433618
150	47.63236259
151	47.53172659
152	47.50174118
153	47.34690963
154	47.28349773
155	47.14100122
156	47.0731187
157	46.92711826
158	46.77033037
159	46.70218012
160	46.64523461
161	46.56167714
162	46.51796115
163	46.4261912
164	46.37382426
165	46.25606634
166	46.20412875
167	46.12872399
168	46.08012338
169	46.04062812
170	46.00079901
171	45.89794675
172	45.79017438
173	45.70604136
174	45.63376117
175	45.52800001
176	45.47212644
177	45.42185154
178	45.31188085
179	45.2727859
180	45.19222712
181	45.10557479
182	45.05111659
183	44.99869933
184	44.92827637
185	44.8308029
186	44.7659616
187	44.70923186
188	44.62257305
189	44.56790604
190	44.46910827
191	44.42931466
192	44.37130762
193	44.31089332
194	44.28245628
195	44.23739785
196	44.15483412
197	44.02556004
198	43.97973247
199	43.92962223
200	43.90285528
201	43.87933546
202	43.82947831
203	43.81012767
204	43.774492
205	43.72958472
206	43.61335602
207	43.57824398
208	43.48044486
209	43.42890294
210	43.341709
211	43.26420602
212	43.23595034
213	43.19935123
214	43.14780785
215	43.10424679
216	43.04849247
